smiles,hof
CN1CC1C(C)(C)C#C,73.44
CC1=NC=C(O)C=C1O,-61.40
CC12CC(C#N)C1C2O,25.48
N1C=CC=CN=CC=C1,86.42
CCCC1(CC1)C(C)C,-20.95
NC1=NCC(=O)C11CN1,19.97
C1C2CC11CC=CC21,94.72
N=C1CC2=C(ON=C2)O1,11.36
CC1OC(=O)C2C(O)C12,-101.39
CC1C2CN(C)C1C2=O,4.19
CC1CC(O)(C=O)C1O,-101.21
CC12CC3C(C13)C(O)C2,0.24
CN(CCCO)C=O,-96.38
CC(=O)CC1=NC=NN1,-10.64
CC1(CN1)C(C=O)C#N,25.64
CCCC(C)C#N,-4.19
OC12C3C1C1(C#C)C2N31,171.88
CC1=CCOC1OC=N,-49.16
NC1=NOC(=O)C=C1,-17.91
OC1=CN=C(O)N1C=O,-86.80
CC1=CC2OC2C(O)C1,-44.81
N=C1OCCOCO1,-97.41
C#CCC1CC(C1)C#C,123.68
COC1C2CC1(C)C=C2,14.51
CC(=O)OCC(N)C#N,-63.94
ON=C1C2COC1CN2,-0.47
COCC12COCC1O2,-85.17
OC1C2CC3OC1C2O3,-81.45
CN=COC1=COC=N1,-27.07
CC1OC11CCC1=O,-36.30
OC1CC2C(C1)C2C=O,-47.72
O1C=NC2=CC=CC2=N1,70.79
C#CCC1CCC2CC12,68.20
CCC1CC1(CO)C=O,-68.18
COCC(C)C1OC1C,-77.28
CC12CC3C1C3(CO)C2,21.35
NC1=CC(=NC=N1)C#N,62.43
NC1=C(CO)OC(=O)N1,-104.84
CC1N(C)C2CC12C#N,75.35
O=C1C2CC2N2CCC12,28.42
CC1CCCC1C=O,-48.23
FC(F)(F)C1CC(=O)C1,-195.49
O=C(C#C)C12CC(C1)C2,85.15
CN=C1OC2C(C)C12C,8.59
C1NC11C2CCC1O2,34.00
CCC1=C(C)N=C(C)O1,-46.07
CC1CC2C(CC12)C#C,86.41
CC1OCC11C2CC1O2,13.17
N#CC#CC1CC2CN12,145.79
CC1CC2CC3OC2C13,-5.39
OC(C=O)C#CC#C,42.71
O=C1CCC2=C1N=CN2,0.95
OC1=CC(=O)C=C(F)N1,-104.66
C[NH2+]C12COC1[C-]2C=O,47.51
N#CC1=NC=NC=C1,73.84
OC1CC2OC2C1C#N,-22.06
CC1=NC(F)=CC(=O)O1,-116.38
CCC12CC(C1)OCC2,-30.62
NC1=C(ON=C1)C#N,51.76
CC12CC1OC2CCO,-40.87
C[NH2+]C(C)(C)CC([O-])=O,-73.02
CC1OCC2=CCOC12,-45.37
CC1C(OC1(C)C)C#N,-12.39
CCC(=O)CC#CC#N,35.56
O=C1COC2CC(C2)N1,-50.20
C1OCC2C3C4C1C2N34,51.59
CC1N=CNC(=N)C1O,-14.44
O=C1ON=CN1CC#N,-2.50
CCC1OC2C1NC2=N,16.62
COC1OCCC2NC12,-42.67
OC1C2OC3C2C13C#N,39.89
NC1=CC(=O)C(O)CC1,-75.98
CC1=C2CCNC2=NN1,44.96
OC12CC1CC(=O)OC2,-98.30
CC1C=CC2OC1C2O,-34.40
O=C1CCC=C1,-22.82
CC12NC1CC2(O)C#C,70.48
COC1=C(OC=N1)C#C,11.29
OC1(COC1C=O)C#N,-42.81
N=C1C=NNC(=N)N=C1,102.76
CCCC1OCC2OC12,-63.36
C1C2NC2C=CC2NC12,86.89
O=CC1(OC1C#C)C=O,0.61
CC1(CC1)C1(CO)CC1,-10.19
CC#CC(CO)OC=O,-73.68
CC1([NH3+])CC1(C)C([O-])=O,-87.32
O=C1CC2CC(C#C)N12,72.67
CCC(C)N1C=NN=C1,22.45
CC1C2CC2NC1=O,-25.65
O=C1CCN(C1)C1CC1,-5.18
C1C2C1C1CC2O1,29.15
OC1=CC=CN=C1C#C,45.60
NC1=CC=C(CO)N1,-15.54
OCC1=CNC(=O)C1O,-96.90
O=C1OC2CN3CC3C12,-21.05
OC12CC1(CC=C2)C#C,62.90
CCOC(C)C(C)C#N,-42.55
CC1C2CC2N1C=O,4.73
C1CC11COCC11CN1,20.91
CC1CCC2=C1N=CO2,-8.95
COC1(C)CC(O)C=C1,-69.13
CC1=CC(=O)C2(CC2)N1,-4.37
O=COC1=CNC=C1,-46.16
CCC1C2CC1(C)OC2,-27.51
CCC1CC2CCOC12,-36.13
ON=C1CNC11COC1,22.42
CC1CC(O1)C(=O)C#C,4.12
C[NH+]1CCCC1C([O-])=O,-92.38
NC(C#C)C(=O)NC=O,-15.60
CN1C(=O)OC(N)=C1O,-107.34
CCC1C(O)C11CCO1,-43.65
CC(O)C1OC1(C)CO,-116.09
CCCC12CCC1C2C,12.73
CCOCC1=COC=N1,-56.88
OC1=CNN=C1OC=O,-70.96
CCC1=NON=C1C#N,61.19
N#CC1CCC1C1CO1,30.92
OC1C2CC3(O)CC1C23,-19.07
O=CCOC(=O)CC#C,-56.47
CNC(=O)C1=NOC=C1,-33.97
CCC1=C(N)OC=C1N,-18.49
N#CCC1=CCC2OC12,39.79
C1OC2=C(O1)N=CO2,-36.98
O=C1C2NC2C11CO1,29.30
CC(C)C1OCC2NC12,-20.40
CC1=CC(=N)N=C(F)O1,-55.75
CC1(CC#CC#C)CC1,112.98
O=C1OCCC2CNC12,-52.04
O=C1ON=C2C=CCN12,-11.86
CC1CC2CC1(O)C=C2,-17.52
OCCC1C=CCC1O,-69.33
CC12CN=COC1CN2,3.27
N=C1CN2N=NC=C2N1,88.03
CC1=CN=C(O)C(F)=N1,-70.08
CC12OC1C(=O)C=C2N,-29.50
CC12CCC3(C)C1OC23,14.99
OCC1C2C3OC1C23O,-26.53
CCC1OCC1C(N)=O,-78.88
CC1CCCC(C)(C)O1,-77.84
CC1(C)OCOC1=N,-78.66
OC1CCCCC2NC12,-26.07
O=C1OCC2CC2C=C1,-37.86
CC1(CO1)C1=COC=N1,-26.72
C1C2C1C1(CC1)C1CN21,89.91
CC12C3C4C(C3C1=O)N24,86.65
NC1=COC(CO)=C1N,-45.84
OC1(C#N)C2C3CC1C23,67.75
CC12COC1C(=O)C2O,-63.09
[NH3+]CC(=O)[N-]C(=N)C#N,17.63
CC1CC(O)CC(C)=C1,-51.72
CC#CC#CC#CC#N,176.61
O1C=CN=C2N=CN=C12,47.92
C1CN1C1=NC=NC=C1,66.48
CC(N)(C#N)C(N)CO,-21.17
O=C1CC2C3COC2C13,-26.95
O=CCN1CCC11CC1,18.12
CC1NC(=O)CC=C1C,-44.24
C#CC1CCCC=CC1,63.14
CCCC1CC2(C)OC12,-19.63
O=C1NC2CC1OCC2,-71.58
CNC(=O)COC(C)=O,-144.95
CC(=O)C1COCC1O,-117.79
C1NC11C2CC1C21CN1,134.30
CC(C)CC1=NNC=C1,11.70
CC1(CC1)NC(=O)CO,-77.83
C1CC1C1=CCCCC1,18.71
C#CC12CC3C4C(C14)C23,165.30
CC1(C)OC2C1NC2=N,12.18
OC1(CCN2CC2)CC1,4.73
O=C1NC2=NCCC2O1,-57.79
C#CC12C3CN=C1NC23,215.42
OCC12C3CC1CC2C3,17.75
C1CC=CC2OC2CO1,-27.26
CC(CO)C1=CCOC1,-67.17
OCC12CN3C4C3C1C24,60.78
CCC1=CNC=CC1=O,-25.70
COCCC(C)(O)C=O,-129.91
OCC1(NCC=C1)C#N,18.87
CC1CC(=O)N(C)C1=O,-104.08
CC1OC(C#N)C1CO,-34.88
O=C1CN2C3CC(=C1)C23,92.48
CC12CC1CCOC2=N,-14.28
C1NC1C12CC3C(O1)C23,80.88
O=C1NCC2(CO2)CO1,-92.94
CC1C2(CN2)CC1(C)O,-9.35
OC12CC1C(=O)OC2=N,-79.23
CN1CCCN=C1C=O,-16.53
CCC1CCCC1OC,-65.12
O=C1OC2COC12C#N,-26.76
OC1(C#N)C2CC1CC2,16.77
FC(F)(F)C=O,-194.96
O=CN1N=NOC1=O,-39.62
CNC(C#N)C(C)(C)C,1.56
CC1CC11CC(O1)C#N,31.04
CC1(O)CC1(C)NC=O,-75.62
CC1=NC=C(O)C=C1,-20.64
CC1(CN1)C(N)=O,-29.25
CC1=COC=NC1=O,-48.99
CCCN=C1OCC1N,-20.39
CC1C2C3CC1(C)C23,55.57
CC12CC(O1)(C=O)C2=O,-29.30
CC1C2C(=N)OC12C#N,55.02
OCC(O)CC#C,-36.21
CC1(CO1)C(O)C1CC1,-48.26
CC1C2OC(=N)C1C=C2,7.11
N#CCC1=CCCC1,35.67
CC(C#N)N1CC(=O)C1,19.82
CC1=NC2CC2CO1,-8.03
CN(C)C(=O)N(C)C,-59.94
CC12NC3C(C1O)C23O,2.58
COC1CC(O)C(C)O1,-137.02
CC1OCCC(=N)O1,-78.00
CCCOCCCCO,-112.19
O=C1CCCC(=O)NC1,-80.67
OC12CC1C=CC2C=O,-20.17
CC1C2CN1CC(=O)O2,-46.14
O=C1NC2C1C21CCO1,2.36
CCC1CCCC1(C)O,-73.07
CC1=CN2CC=CC2=C1,44.23
OCC1CC(CO)C1O,-108.68
C1C2OC=NC1C1NC21,25.42
CN1C(=N)OC=NC1=N,0.41
CC1=CCC2=C1C=NN2,60.19
CC1C2CC(=O)C12C#N,35.87
O=C1OC2CC1OCC2,-112.28
CCC(O)(C=O)C#C,-21.56
COCCCC(C)=NO,-61.01
CC12CC(NC=N1)C2=O,15.95
N=C1C=C(ON=N1)C=O,38.33
N#CC1C2OCOC12,-2.98
CC1C2(C)C3CC2C13O,30.09
C1OCC1N1N=CN=N1,54.56
OCCC1(CN1)C#N,14.44
CC1C(=O)NC1(C)CO,-82.74
CC(O)C1(CN1)C#C,38.83
COC1(CC(=O)C1)C=O,-82.58
CCC(=O)OCCC#N,-78.14
CC1COC(=O)C(N)C1,-93.62
CC12CN1CC=C2CO,7.71
CC12COC1C2(O)C#C,31.98
CC1OC(=N)C11CCC1,-5.41
O=CCN1C=CNC1=O,-54.31
COC1C2CC2C1C=O,-22.77
O=C1CC2C=CC1C=C2,17.13
CC1(C)CC(O)C2CN12,-21.32
CC(CC=O)C1(C)CO1,-66.34
COC1C2NC(=O)C12N,-20.31
CC(O)C1OCC1O,-110.05
COC1=C(O)N=C(C)N1,-58.96
OCC1OC1C1CCC1,-44.58
COC1CCC(O1)C=O,-113.07
CC1OCCCC11CO1,-66.29
COC1=NC(=O)C=CN1,-57.09
CC1(N)C(N)C1(O)C#N,11.43
OCC1C2CN1C21CC1,63.52
CC1(CCO)NC1C=O,-54.26
OC1C2NC2C2OC12,-5.25
CC1C2COC=NC12,-1.14
OCC(C#C)C(F)(F)F,-161.50
C#CC1NC2COC12,82.07
CN1C2(C)COCC12C,-20.27
CC#CC(=O)NC=N,25.68
COCC1NC11COC1,-22.04
O=CCC12CN1C(=O)C2,-11.13
CC(C)OC1=NOC=N1,-44.13
CC1=CC(=N)OC(O)=N1,-52.94
NC1=CC(O)=CC(N)=C1,-23.36
OC1(CC1)C1CCO1,-39.14
NC1=CC(=NN1)C#C,97.80
O=C1NC2COCC2N1,-74.69
CCOC1OC(C)C=C1,-75.77
OC12CC(OC1=N)C=C2,-26.76
C1C2C3C(N12)C31COC1,80.79
COC1=CC=NC(O)=N1,-62.50
NCC1=NC(=O)C=NO1,-7.57
CCC1C2COC12C,-8.69
O=CCC(=O)CCC#C,-16.90
C1CC2=CC3OC3C12,44.98
CC1(O)CC(C1)C#N,-8.90
COC1(CCC1)C1CN1,2.64
CCC1OCC(C)(C)O1,-107.72
C1CC2C3NC3C2=C1,99.07
CN1CCC1C(N)C#N,50.33
C1CC23CCC(C2)OC13,-7.25
CC(C)(CC1CC1)C#N,24.19
CN1C2C3NC3CC12C,66.92
CC(OC1(C)CC1)C#C,25.29
CNC1=CC=CC=C1,17.98
CCC1CCCOC1,-65.25
CC1=CCC2OC12C#N,36.78
CC12OC3CC1OC23,-13.65
CNC(=[NH2+])C(C=O)=N[O-],-9.98
CCC1OC1C(N)C#N,7.74
CC1COC1(C#N)C#N,49.03
CCC12OC3CC1OC23,-18.46
C1CC2=NC=CN12,64.00
C#CC1=CCOCCC1,33.05
OCC(C#C)C#N,46.51
OCCC12CC3OC1C23,3.80
CNC1=CN=C(N)O1,-12.05
NC(=O)CN1CCC1=O,-76.40
CCC1(C)C2CCC1O2,-25.14
C1CC1C1=CN=NN1,72.38
ON=C1CC2CCC1C2,0.50
CCC1C(C)C1O,-41.14
CNC1=NC(=N)ON=N1,54.64
CC1CCCN=COC1,-33.87
COC(C#N)C(C)CO,-62.80
C1C=CC2OC1C1NC21,28.65
CC#CC12CC(CC1)O2,39.28
C1CCC=CCCOC1,-31.56
C1C2CC3CN=COC123,30.19
CC1CC(=O)NC(C)=N1,-48.75
CCCOCCC,-75.57
OC(CCC=O)C=O,-111.74
COCC1C2NC1C2=O,4.90
CCC(O)COC(C)C,-118.29
CC12CN1C1CCC21C,66.69
CN=COC1CC=CC1,-10.17
NC1=C(O)NC(CO)=N1,-54.19
CC12CN1C1CC21C#N,122.41
OC1=CNC(=[NH2+])C([O-])=C1,-44.64
CC1C2CC3C(C1O)N23,14.52
NC1=C(CC=O)NC=C1,-3.30
CCCC(O)CC(C)O,-121.90
C1NC11CCCC2NC12,54.51
CC1CN1C(=O)OC=N,-47.91
OC12COC1C2CC=O,-50.54
OCCC1CC2CC1C2,-24.86
CC1CC(=O)C(O)C=C1,-62.77
NC1(C#N)C2C3CC1N23,121.54
CC1CC1(C)C#CC#N,86.42
CCOC(C)CC(C)=O,-108.20
CC1CCCC1C(N)=O,-66.04
CC(O)C#CCC(C)=O,-39.05
C1CC23C1C1C2CCC31,110.26
CC1C2OC3C(O)C3C12,-10.34
CC1CC(OC=O)C=C1,-70.12
COC1C2C(C1O)N2C,-20.71
OC1C2COC1C2C=O,-68.10
OC1C2C3OC1C(O)C23,-72.98
CC(C=O)C(C)(C)C=O,-83.59
CCCC1OC1C,-44.07
C1CC2CCC1OC=N2,-25.34
N#CC1OC2C3OC1C23,36.62
O=C1C=CC(C#N)C1=O,3.16
CCC#CC#CC(C)=O,51.72
OC1CCC=CC2OC12,-33.69
CC1=C(N)C(=O)C=NN1,-1.57
CC1CC11CCCCC1,-10.39
CC1=NCC2=NCCN12,36.68
OC(CC#C)C(O)C#C,28.02
CC1CC11C(O)C2CN12,35.06
C1CC2(C1)CCC1OC21,-2.05
O=C1OCCC=C1C#C,-5.93
CC1(C#C)C2NC2C1=O,85.07
CC1CCOC(O1)C#C,-26.79
OC1C2CC(O)C1C2O,-93.57
CC1N2C3CC3C12CO,56.98
OC1C2NC1(C=O)C2=O,-18.68
CCC#CC#C,92.05
OCC1C2CN2C1C=O,-7.40
CCC(O)C(C)C#C,-9.64
CC1CC1C1CC1(C)C,12.64
OC1CC2CN2C11CC1,15.87
ON=C1CCC(O)C1=O,-66.76
CC#CC1CCCC=C1,52.13
CCC1CC(O)C1C#C,15.55
CN(CC=O)C(C)=O,-84.65
CC12CC3CC1CC23,44.18
CC12C3C4C(N14)C23C#C,195.03
CC(=O)C(OC=N)C#N,-23.27
C1OC23CN4C5C2C5C134,149.49
CCC1CC(O)C1=NO,-33.81
CC1OC2CC1NC2=O,-68.93
COCC1C(C)CC1=O,-67.05
O=CC12COC3C1NC23,21.86
CC1=C2NC3C2C3C1=O,106.65
CC1CCC(CCO)=C1,-43.71
O=C1CC23CC12C=CC3,44.76
CCN1C(C)C1CC=O,-15.93
O=CCN=CNC=O,-49.32
C1CC11COCCCO1,-54.71
OC1COC11C2COC12,-27.33
CC(=O)C(CO)C=O,-114.75
CC1CCN1CC#N,45.41
OCC1OCC(=C1)C#C,-1.13
C1CC2(C1)CCOC2,-26.22
CC1CC2OC2C2NC12,13.57
C1C2NC22CC1OCC2,17.55
CCOCCC1CC1O,-76.27
CC1CC(=NO)C11CN1,47.53
CC(O)C1CC1C1CC1,-14.54
NC(=O)C(=O)NC=O,-127.00
CC1(CC1)C1CCC1,18.32
C1C2CC3CC12CCO3,0.83
C1OC1C1CC=CCO1,-31.84
C1OC11C2C3CN=C1N23,130.04
CCC(O)(CO)C1CC1,-84.53
COC1(CCC1)C(C)O,-79.77
OCC1CCC1=NO,-27.23
C1OC2C3NC3C2=C1,77.06
C1NC2C11OC22CNC12,35.36
CC1C2(C)C3CC1(O)C23,16.88
CCC1=CC(N)=C(O)O1,-59.89
CC1=NC(CO)=C(C)O1,-72.72
OC1CC(=O)CN2CC12,-36.25
CCN=C1OC=NO1,-24.20
CCCOC(=O)C=O,-124.56
FC1=CN=C(N=C1)C#C,51.44
OCC12C3CCC1OC23,-22.63
OC12C3CC1C1(CO1)C23,34.06
CCOC1=CC(C)=CN1,-28.35
O=CCC(=O)NC1CC1,-56.63
COCC1(C)CC2NC12,6.13
N=C1OC2(CNC12)C=O,7.99
OCC1C2CC(=O)C1O2,-68.69
CC1(C)C=CCC2CC12,18.96
CC12CC1C1(CN21)C#N,124.34
CN=CN(CC#C)C=N,84.55
OC12COC1CCC2,-60.98
O=CC12C3CC1CN23,58.01
COC1C=CC(C)C1O,-68.94
CC(=O)C#CCC(N)=O,-36.29
CC1CC2(COC2=O)O1,-88.83
CN1CC(=O)CC1C#N,7.67
CN1CC=CNC(=O)C1,-18.49
CC1(CC1C#N)OC=N,21.28
CNC1=CNC(N)=C1O,-5.68
CC(C)C1=NOC(N)=N1,-16.00
COC(=O)C(=O)C#CC,-64.45
CC12NC1C(=O)NC2=N,4.12
CN1C=NC(N)=N1,28.55
CC1CC11CC2CC1O2,10.83
CC1CC1C(=O)C=O,-49.70
COC1CC(CC#N)C1,-4.43
O=C(C#C)C1COCO1,-35.62
O=C1C=CON=CC1=O,-11.83
CC1=CC(C)=CC=CC1,28.74
C#CC1CC2OC2CO1,13.56
CC1(C)C2CCC12CO,-14.42
NC(=NCC#N)C#N,80.47
CCC12CC1(C)CC2O,-21.71
O1C=C2C=CN=CC2=C1,27.80
CNC1C2NC2C1=NO,71.44
COC(=O)C(O)C1CO1,-143.20
CC1CCC11OCC1=O,-41.02
CCCN1CCC1C#N,37.70
CN1N=C2CCOC2=N1,25.94
CC1COC2=COC=C12,-34.38
C1CC23OC4C2C(=C1)C34,38.19
O=COC(CC#N)C#N,-12.35
CC12C3CC1(C3)NC2=O,79.75
CC1CC=CC(N1)C#N,45.62
C1OCC1C1OCCO1,-88.70
C1CC11CCC2COC12,-0.54
CC(O)CC1CC(O)C1,-86.25
CCN1CC11CC2NC12,84.48
OC12CN3C1C1CC1C23,69.46
OC1=CC=C(N1)C1CN1,20.15
CCC1C(C)N1CC#N,44.70
CC12CC(CC1)C2(C)C,-0.05
CC(C)N1CC1,9.14
CC1CCC=CC1C#C,57.97
NC1=C(NN=N1)C1CO1,45.38
O=CC#CC12CCC1N2,82.87
CC1(C)CN1CCC=O,-19.99
C#CC1C2CC1C2(C)C,105.37
CC1(CO)C=CCC1=O,-62.44
CC12OC1COC2CO,-96.85
CCC1=CCCNC1=O,-43.95
CC1C2OC1(CO)C=C2,-14.14
C1C2C3CC4C1C2N34,108.87
CCC1CCN=CO1,-42.28
CC1(NCC1=O)C1CN1,21.65
C1NC1C1OCCO1,-41.31
CCC(=O)N(C=N)C=O,-67.65
C#CCC12CC1C1OC21,112.94
COC1=C(O)C(C)=CO1,-90.72
C1NC11C2C3C4C3N2C14,164.06
CC#CC12CC(O1)C=C2,85.65
NC(=O)NC(=N)NC=O,-78.59
OCC(=O)CC(=O)C#C,-48.72
CC1OC23CN(C2C)C13,102.78
NC1=CNC(=N1)C1CO1,15.23
CNC12COC1C2C#N,52.73
CCC1C2CC3C2CC13,43.97
O=CC1=CC(=O)C=CN1,-41.92
CC1C(C)C2OCOC12,-65.44
C1NC1C1(CO1)C1CO1,9.92
OC1CCOC11CC1,-56.27
C#CC1=CC2COC2C1,60.54
CC1C(C)(N)C1(O)C#N,-1.89
OCC1COC2COC12,-91.55
O=C1C2C3NC1COC23,-16.49
C1C2C3N=COC3CN12,24.48
CC1=NC(C)(CO1)C#N,-5.65
CCC(C)(OC)C#CC,-13.44
CC1CCC1C(O)C=O,-68.98
C1CC1C12CC1C=CC2,61.15
CC1=C2CC=CC2=CO1,10.04
N=C1NC(C#C)C(=O)N1,37.01
CCC1CN1C(C)=O,-32.93
OC1C2C3C2C2C3C12O,14.01
CC(C)(O)CC(N)C#N,-33.64
CCC1=C(NC=C1)C=O,-24.00
C1CC11OC2C3OC2C13,33.65
CC1CC2(O)CC3C1C23,0.63
CCC1OC1C1(C)CN1,-6.05
O=C1NCCCN=CO1,-63.26
C#CC1CC2=NCCN12,113.82
OC1CNCC(=O)C=C1,-48.13
N#CC1CC=CC11CC1,67.85
O=C1CC2C3CC2(C3)N1,34.31
OC(CC(=O)C=O)C#C,-40.70
CC1(O)C=CCCC1=O,-64.05
CC1(C)C2CC2C1CO,-14.08
CC1N2CCC12CC#N,74.07
CC12COC(C#N)C1N2,25.67
N#CC1CN=C(O1)C#N,57.97
C1C2CN1C1=C2ON=N1,86.33
OCCC1CCOC1=O,-133.85
CC1(C)NC(C#N)C1N,42.00
OCC1CNC(=O)C1=O,-109.97
C1C2CC=CC3CC3C12,64.07
CCC(O)CCNC=O,-109.05
CNC1=NC(N)=CO1,-13.84
CC12CC1C(=CC2)C#C,88.78
CCC1OC(=O)C1CO,-124.00
CC(=O)C1CCC1O,-73.50
CN1C2C=C3COC3C12,68.11
OC12CN3C4CC1C2C34,28.62
CCOC(=N)CC#C,11.20
CCC1C(C=O)N1C,-12.79
CNC=O,-51.05
CCC1CC1C(C)(C)C,-19.54
OCC1(NC2CC12)C#N,50.52
CC12NC1CC=C2C#N,75.79
COC1(CC1O)C#N,-23.42
CC1C2C3OC1(C)C23O,-6.69
CC1CCC2OC(=N)C12,-23.65
OCC1OCC=C1C#N,-26.53
CCOC1CC(C1)=NO,-29.82
CC1(C)NCC1(O)C#N,2.92
CC(=NO)C(C)(C)C#N,8.15
CCOC1=CON=N1,-16.42
NC12CC3C1NC23C#N,152.04
CC1(C)CN2N=CC=C12,60.82
CC#CC12CC1(C)CO2,52.63
OCC1N=COC1C#N,-23.59
OC1C2CC1(O)CC2=O,-84.06
O=C1CC2NC2(C1)C#C,57.26
OC1=CC(NC=O)=CN1,-51.11
CC#CCC1CO1,29.08
CNC(=O)C1COCO1,-121.19
CC12C(O)C1C1COC21,0.78
CC(C)(O)C12CN1CC2,-6.76
CC(NC=O)C1OC1C,-73.82
COC1C2OC3CC2C13,-9.86
CC1CCC(C)C1C,-35.36
CC(=O)N1C2CCCC12,-22.56
O=C1CC2CCC2=C1,10.02
N#CC1OCCN2CC12,36.95
OCC1CCC=CC1=O,-71.03
NC1=CN=C2OCCN12,7.82
O=N(=O)C1=COC=N1,-12.06
CC(C)(C)C(=NO)C#C,39.36
OC1CC2C3CC3C2C1,5.71
CCC1(O)C2OCC12C,-41.65
CC12OC34C=CC(C13)C24,119.10
CC12CN=C(N)C1O2,-0.82
N#CC#CC1(CN1)C#N,158.50
C1C2C3C=CC1C1C3N21,91.09
CC1C2CC(=O)C(=N)N12,18.06
CCC(C#C)C1CC1C,51.65
ON=C1COC1C1CO1,-17.17
CC1CC11CN(C)C1=O,-14.87
CC1C=C(C#N)C2CC12,64.34
COC1=C(N)C(C)=CN1,-14.17
CC(=O)N1C=CC(N)=N1,-12.64
N=C(NCC1CC1)C=O,0.03
O=C1C2CC3CC2CC13,0.80
CCC1CC1(C)CC=O,-36.42
COC1(CCOC1)C=O,-102.47
CCOC1(COC)CC1,-71.55
CC1CCCCC1=NO,-24.66
CC1=CN=C(CC#C)N1,71.15
CC1(COC1)NCC#N,13.60
C1OC23C4NC2C4C3=C1,127.13
CC12OC3CC1C3C2O,-25.72
CC1C2CC(C)C1O2,-19.36
COC1C2OC1C21CN1,40.46
COCC(O)C(C)=NO,-92.44
C1NC1C1=NC=NO1,45.88
COC(CO)C1(C)CN1,-61.78
OC1CC11N=COC1=O,-74.74
OC12CC(C1)OC2C#N,-8.18
CCC1NC(=O)OC1=N,-85.93
O=CCCC1=CC=CN1,-11.67
N=C1OC2(CC2)C2OC12,-4.69
O=CC1CCCOC1,-76.86
ON=C(C#C)C1CC1O,42.97
CC1N2CC2CC1(C)O,-20.22
C1NC11CN2CCN=C12,91.20
CC1(O)C(O)CC1C#N,-45.86
CCC1OC1C(F)(F)F,-199.16
CC1CC(O)C(=O)C1,-89.55
C1C2C3C2C2C4C3N4C12,100.21
CC1=CC(F)=CC=C1O,-79.41
NC(=O)CCOCCO,-139.50
COC1(CO)CCC1=O,-96.27
CCCC1CC(CO)C1,-52.65
ON=C1CC=CCC1O,-25.06
COC1CC(C#C)C1=O,7.13
CN1CC(=N)OC1=O,-76.70
O=CC1N2CCC12C#C,90.82
CC1C2C(=O)C(C)C12C,-11.19
OC1C2C3COC3C12O,-28.09
OC1C(O)C1NC=O,-98.11
OC1(CC1)C(=O)N1CC1,-30.59
C#CC#CC12CC1CC2,147.28
OC1(CC(=O)C1)C=O,-87.63
CC1CCOC(C)(C)C1,-75.39
O=C1CCC2C1C1CN21,32.70
CN(C)C(=O)C#CC=O,-16.22
N#CC1CNC2CC2N1,74.52
CC(O)C#CC(O)C#C,30.82
C(C1CC1)N1C=NN=N1,83.53
CC(=O)CC(=O)C#C,-15.04
CNC1=C(CO)ON=C1,-24.59
CCC1N(C)C11COC1,5.11
C1CC2C1C1CC2C=C1,52.94
O=C1CC2OC2C2NC12,-4.90
O=C1CCC1CC#N,7.34
CC1(C)CC11OC2CC12,24.73
C#CC(C#N)C1CCO1,73.73
OC12CC1CC1CN1C2,19.56
OC1CCC1C(F)(F)F,-206.03
COC12C3CC1(C)OC23,2.34
CN1CC(N)=C(C)C1=O,-42.41
CC12CC3C1C2OC3=O,-31.94
CC1CCC1COC=O,-77.65
